,action,cost,state
176,[0.],-2.582266869638599e-10,[ 1.6221211   0.85069532  3.14880989 -0.08605195]
177,[0.],-1.6114158868103895e-10,[ 1.63062806  0.84975959  3.14794937 -0.0854845 ]
178,[0.],-9.50463524809434e-11,[ 1.63912565  0.84877464  3.14709452 -0.08458273]
179,[0.],-5.2266081132731e-11,[ 1.6476134   0.84774088  3.1462487  -0.08334906]
180,[0.],-2.6261115573140282e-11,[ 1.65609081  0.84665891  3.14541521 -0.08178724]
181,[0.],-1.168467852410025e-11,[ 1.6645574   0.84552955  3.14459733 -0.07990229]
182,[0.],-4.3676030575882006e-12,[ 1.67301269  0.84435379  3.14379831 -0.07770055]
183,[0.],-1.241473414243555e-12,[ 1.68145623  0.84313282  3.14302131 -0.07518962]
184,[0.],-2.1385146238826996e-13,[ 1.68988756  0.841868    3.14226941 -0.07237831]
185,[0.],-1.0535134917147637e-14,[ 1.69830624  0.8405609   3.14154563 -0.06927669]
186,[0.],-2.4027648059748643e-19,[ 1.70671185  0.83921323  3.14085286 -0.06589598]
187,[0.],-1.438850398963254e-14,[ 1.71510398  0.83782689  3.1401939  -0.06224852]
188,[0.],-1.7975696351755564e-13,[ 1.72348225  0.83640394  3.13957141 -0.05834775]
189,[0.],-7.659790550175202e-13,[ 1.73184629  0.83494659  3.13898794 -0.05420817]
190,[0.],-2.0639007230776554e-12,[ 1.74019575  0.8334572   3.13844585 -0.04984524]
191,[0.],-4.294336704626752e-12,[ 1.74853032  0.83193825  3.1379474  -0.04527534]
192,[0.],-7.550473302754779e-12,[ 1.75684971  0.83039236  3.13749465 -0.04051575]
193,[0.],-1.1772438608659588e-11,[ 1.76515363  0.82882228  3.13708949 -0.03558453]
194,[0.],-1.675039307095301e-11,[ 1.77344185  0.82723085  3.13673365 -0.03050047]
195,[0.],-2.2150624958138016e-11,[ 1.78171416  0.825621    3.13642864 -0.02528302]
196,[0.],-2.755790001472662e-11,[ 1.78997037  0.82399577  3.13617581 -0.01995223]
197,[0.],-3.2526752933516085e-11,[ 1.79821033  0.82235825  3.13597629 -0.01452865]
198,[0.],-3.663450804611115e-11,[ 1.80643391  0.82071159  3.135831   -0.00903327]
199,[0.],-3.9529516785036836e-11,[ 1.81464103  0.81905902  3.13574067 -0.00348742]
