,action,cost,state
65,[-0.98546437],-0.21136183845888565,[-1.36727455 -0.76550723  4.39901374 -4.26298714]
66,[-0.97152003],-0.1872765415496613,[-1.37492962 -0.82736697  4.35638387 -4.44885698]
67,[-0.97632741],-0.16403721905082305,[-1.38320329 -0.88703348  4.3118953  -4.62697399]
68,[-0.99522613],-0.14191837656243372,[-1.39207362 -0.94625136  4.26562556 -4.79532861]
69,[-0.99140457],-0.12115941810245247,[-1.40153614 -1.00295918  4.21767227 -4.95548145]
70,[-0.99535757],-0.10196089197714404,[-1.41156573 -1.05836954  4.16811746 -5.10577714]
71,[-0.99753101],-0.08447366683353362,[-1.42214943 -1.11276781  4.11705969 -5.24538568]
72,[-0.99898871],-0.06880125321038841,[-1.4332771  -1.16663761  4.06460583 -5.37312785]
73,[-0.9927901],-0.05499647784995462,[-1.44494348 -1.21974954  4.01087455 -5.48877329]
74,[-0.993924],-0.04306199969410529,[-1.45714098 -1.27367123  3.95598682 -5.589303  ]
75,[-0.9991419],-0.03295103767086939,[-1.46987769 -1.3297542   3.90009379 -5.67163195]
76,[-0.99503937],-0.024574794104675567,[-1.48317523 -1.38782808  3.84337747 -5.73511037]
77,[-0.99663259],-0.017806711299920334,[-1.49705351 -1.4496086   3.78602637 -5.7756476 ]
78,[0.26028801],-0.012487280227516297,[-1.5115496  -1.35067388  3.72826989 -6.12086164]
79,[0.95286295],-0.008435721956681257,[-1.52505634 -1.15508001  3.66706127 -6.66398868]
80,[0.97120255],-0.005344044471339118,[-1.53660714 -0.94980011  3.60042139 -7.23109944]
81,[0.98386791],-0.0030674828275554225,[-1.54610514 -0.73693729  3.52811039 -7.81694801]
82,[0.99378656],-0.0015301030111628245,[-1.55347451 -0.51944171  3.44994091 -8.41311889]
83,[0.98426743],-0.0006157628635695975,[-1.55866893 -0.30441838  3.36580972 -8.99982953]
84,[0.99430116],-0.0001715450136942361,[-1.56171311 -0.09505873  3.27581143 -9.56471241]
85,[0.99021695],-2.2002291525887432e-05,[ -1.5626637    0.09864129   3.1801643  -10.07745906]
86,[0.99175429],-1.5017564466347197e-07,[ -1.56167728   0.26868165   3.07938971 -10.51171078]
87,[0.99376265],-1.0174565047502404e-06,[ -1.55899047   0.40679302   2.97427261 -10.84106047]
88,[0.97970698],-5.3359417048048245e-05,[ -1.55492254   0.504616     2.865862   -11.04131691]
89,[0.99355039],-0.0003937646094913831,[ -1.54987638   0.56499978   2.75544883 -11.11973671]
90,[0.98557636],-0.0015122467473986285,[ -1.54422638   0.58754839   2.64425147 -11.07949754]
91,[0.99434645],-0.004142405341249486,[ -1.5383509    0.581296     2.53345649 -10.94863445]
92,[0.9944913],-0.009183971432077023,[ -1.53253794   0.55302315   2.42397015 -10.75036096]
93,[0.9969969],-0.017588536126417784,[ -1.5270077    0.51098016   2.31646654 -10.50973633]
94,[0.99382896],-0.030235029444325053,[ -1.5218979    0.4611871    2.21136917 -10.2449268 ]
95,[0.99692143],-0.04783562480874454,[-1.51728603  0.40964194  2.1089199  -9.97108079]
96,[0.98537754],-0.07087486310494856,[-1.51318961  0.35846562  2.0092091  -9.69470388]
97,[0.99495408],-0.09959480399450489,[-1.50960496  0.31270869  1.91226206 -9.42386179]
98,[0.99136108],-0.13398771635997242,[-1.50647787  0.27270779  1.81802344 -9.15904816]
99,[0.98814529],-0.17384464692048607,[-1.50375079  0.23976587  1.72643296 -8.90085909]
100,[0.99580744],-0.2187672659790497,[-1.50135313  0.2158506   1.63742437 -8.64905872]
101,[0.98516384],-0.2682136906582677,[-1.49919463  0.19971764  1.55093378 -8.40141817]
102,[0.99043358],-0.3215473507784266,[-1.49719745  0.19343674  1.4669196  -8.15627846]
103,[0.99525788],-0.378052283240951,[-1.49526308  0.19733317  1.38535681 -7.91109173]
104,[0.98943359],-0.4369942282239251,[-1.49328975  0.21065379  1.3062459  -7.66366066]
105,[0.9856015],-0.4976426343514119,[-1.49118321  0.23385945  1.22960929 -7.4115323 ]
106,[0.98517713],-0.5592922870633733,[-1.48884462  0.26752148  1.15549397 -7.15202459]
107,[0.98432795],-0.6212962050753358,[-1.4861694   0.31177811  1.08397372 -6.88275329]
108,[0.98874294],-0.6830876316519501,[-1.48305162  0.36732208  1.01514619 -6.60081311]
109,[0.9960595],-0.7441945479946942,[-1.4793784   0.43455499  0.94913806 -6.30358401]
110,[0.99714884],-0.8042549643494453,[-1.47503285  0.51276485  0.88610222 -5.99014325]
111,[0.9843717],-0.8630238271181492,[-1.4699052   0.60014385  0.82620078 -5.66182178]
112,[0.98795479],-0.9203705366444034,[-1.46390377  0.69822156  0.76958257 -5.3151285 ]
113,[0.99306052],-0.9762689893354929,[-1.45692155  0.80673596  0.71643128 -4.94946296]
